customer_id,city,signup_date,signup_year,signup_month,signup_month_name,signup_quarter
85,Bangalore,2020-02-17,2020,2,February,Q1
86,Mumbai,2021-03-30,2021,3,March,Q1
87,Delhi,2019-02-19,2019,2,February,Q1
88,Delhi,2019-03-22,2019,3,March,Q1
89,Mumbai,2022-11-27,2022,11,November,Q4
90,Mumbai,2023-05-30,2023,5,May,Q2
91,Delhi,2022-01-30,2022,1,January,Q1
92,Delhi,2021-08-22,2021,8,August,Q3
93,Mumbai,2023-04-13,2023,4,April,Q2
94,Delhi,2023-12-29,2023,12,December,Q4
95,Mumbai,2021-12-09,2021,12,December,Q4
96,Pune,2023-11-07,2023,11,November,Q4
97,Delhi,2022-01-07,2022,1,January,Q1
98,Pune,2019-05-08,2019,5,May,Q2
99,Delhi,2020-09-08,2020,9,September,Q3
100,Delhi,2021-05-20,2021,5,May,Q2
101,Delhi,2022-03-23,2022,3,March,Q1
102,Bangalore,2023-02-01,2023,2,February,Q1
103,Mumbai,2019-07-18,2019,7,July,Q3
104,Delhi,2023-04-19,2023,4,April,Q2
105,Pune,2023-10-14,2023,10,October,Q4
106,Mumbai,2022-01-15,2022,1,January,Q1
107,Mumbai,2022-04-21,2022,4,April,Q2
108,Pune,2020-11-24,2020,11,November,Q4
109,Pune,2022-08-04,2022,8,August,Q3
110,Delhi,2019-04-29,2019,4,April,Q2
111,Pune,2021-05-24,2021,5,May,Q2
112,Pune,2023-10-19,2023,10,October,Q4
113,Pune,2023-07-08,2023,7,July,Q3
114,Pune,2023-04-05,2023,4,April,Q2
115,Delhi,2023-07-22,2023,7,July,Q3
116,Mumbai,2021-04-04,2021,4,April,Q2
117,Delhi,2022-12-18,2022,12,December,Q4
118,Bangalore,2019-03-27,2019,3,March,Q1
119,Delhi,2021-02-15,2021,2,February,Q1
120,Bangalore,2022-06-01,2022,6,June,Q2
121,Mumbai,2023-02-18,2023,2,February,Q1
122,Pune,2021-11-10,2021,11,November,Q4
123,Delhi,2020-05-04,2020,5,May,Q2
124,Mumbai,2022-04-22,2022,4,April,Q2
125,Delhi,2023-10-06,2023,10,October,Q4
126,Bangalore,2020-01-02,2020,1,January,Q1
127,Bangalore,2023-04-07,2023,4,April,Q2
128,Mumbai,2020-12-28,2020,12,December,Q4
129,Mumbai,2022-04-24,2022,4,April,Q2
130,Pune,2023-02-11,2023,2,February,Q1
131,Bangalore,2022-03-07,2022,3,March,Q1
132,Bangalore,2021-07-10,2021,7,July,Q3
133,Pune,2023-08-02,2023,8,August,Q3
134,Bangalore,2023-09-17,2023,9,September,Q3
135,Pune,2022-01-05,2022,1,January,Q1
136,Mumbai,2019-02-20,2019,2,February,Q1
137,Mumbai,2019-09-17,2019,9,September,Q3
138,Delhi,2022-02-14,2022,2,February,Q1
139,Delhi,2023-10-21,2023,10,October,Q4
140,Pune,2022-05-26,2022,5,May,Q2
141,Bangalore,2019-05-23,2019,5,May,Q2
142,Pune,2023-10-02,2023,10,October,Q4
143,Bangalore,2021-10-02,2021,10,October,Q4
144,Delhi,2019-10-04,2019,10,October,Q4
145,Pune,2023-03-29,2023,3,March,Q1
146,Delhi,2021-01-30,2021,1,January,Q1
147,Bangalore,2023-01-18,2023,1,January,Q1
148,Bangalore,2022-04-06,2022,4,April,Q2
149,Bangalore,2020-06-25,2020,6,June,Q2
150,Bangalore,2021-08-18,2021,8,August,Q3
151,Mumbai,2023-05-12,2023,5,May,Q2
152,Bangalore,2021-06-08,2021,6,June,Q2
153,Delhi,2019-06-03,2019,6,June,Q2
154,Bangalore,2019-10-21,2019,10,October,Q4
155,Pune,2021-10-17,2021,10,October,Q4
156,Mumbai,2023-01-14,2023,1,January,Q1
157,Delhi,2021-06-26,2021,6,June,Q2
158,Bangalore,2019-09-10,2019,9,September,Q3
159,Bangalore,2023-01-03,2023,1,January,Q1
160,Mumbai,2022-03-14,2022,3,March,Q1
161,Delhi,2021-04-15,2021,4,April,Q2
162,Mumbai,2022-02-23,2022,2,February,Q1
163,Delhi,2020-04-02,2020,4,April,Q2
164,Pune,2021-06-23,2021,6,June,Q2
165,Mumbai,2022-11-22,2022,11,November,Q4
166,Mumbai,2022-12-23,2022,12,December,Q4
167,Bangalore,2020-11-26,2020,11,November,Q4
168,Bangalore,2023-02-01,2023,2,February,Q1
169,Delhi,2020-04-30,2020,4,April,Q2
170,Delhi,2023-10-23,2023,10,October,Q4
171,Pune,2021-06-06,2021,6,June,Q2
172,Bangalore,2020-02-17,2020,2,February,Q1
173,Pune,2022-07-21,2022,7,July,Q3
174,Pune,2019-03-16,2019,3,March,Q1
175,Delhi,2022-06-17,2022,6,June,Q2
176,Pune,2021-04-26,2021,4,April,Q2
177,Bangalore,2022-04-26,2022,4,April,Q2
178,Bangalore,2023-06-24,2023,6,June,Q2
179,Delhi,2022-05-10,2022,5,May,Q2
180,Mumbai,2019-05-08,2019,5,May,Q2
181,Bangalore,2020-02-01,2020,2,February,Q1
182,Pune,2023-04-18,2023,4,April,Q2
183,Mumbai,2023-03-07,2023,3,March,Q1
184,Mumbai,2019-05-11,2019,5,May,Q2
185,Delhi,2019-03-29,2019,3,March,Q1
186,Bangalore,2023-07-10,2023,7,July,Q3
187,Pune,2021-07-28,2021,7,July,Q3
188,Bangalore,2022-05-24,2022,5,May,Q2
189,Delhi,2021-06-30,2021,6,June,Q2
190,Delhi,2022-07-28,2022,7,July,Q3
191,Delhi,2022-04-17,2022,4,April,Q2
192,Bangalore,2019-06-10,2019,6,June,Q2
193,Mumbai,2023-11-10,2023,11,November,Q4
194,Bangalore,2020-03-20,2020,3,March,Q1
195,Mumbai,2023-09-25,2023,9,September,Q3
196,Pune,2023-10-26,2023,10,October,Q4
197,Bangalore,2023-07-09,2023,7,July,Q3
198,Delhi,2020-07-25,2020,7,July,Q3
199,Delhi,2022-08-26,2022,8,August,Q3
200,Pune,2021-04-30,2021,4,April,Q2
201,Delhi,2019-11-09,2019,11,November,Q4
202,Pune,2022-05-22,2022,5,May,Q2
203,Bangalore,2022-08-30,2022,8,August,Q3
204,Bangalore,2021-12-30,2021,12,December,Q4
205,Pune,2022-06-26,2022,6,June,Q2
206,Mumbai,2021-08-05,2021,8,August,Q3
207,Bangalore,2022-12-01,2022,12,December,Q4
208,Pune,2022-04-09,2022,4,April,Q2
209,Mumbai,2023-10-26,2023,10,October,Q4
210,Bangalore,2022-02-24,2022,2,February,Q1
211,Delhi,2019-02-21,2019,2,February,Q1
212,Mumbai,2023-08-31,2023,8,August,Q3
213,Bangalore,2020-11-03,2020,11,November,Q4
214,Bangalore,2021-01-22,2021,1,January,Q1
215,Pune,2019-09-27,2019,9,September,Q3
216,Bangalore,2019-02-25,2019,2,February,Q1
217,Pune,2019-05-19,2019,5,May,Q2
218,Bangalore,2022-08-17,2022,8,August,Q3
219,Bangalore,2023-11-22,2023,11,November,Q4
220,Bangalore,2019-07-27,2019,7,July,Q3
221,Mumbai,2023-04-09,2023,4,April,Q2
222,Pune,2019-01-19,2019,1,January,Q1
223,Mumbai,2021-12-04,2021,12,December,Q4
224,Bangalore,2021-12-19,2021,12,December,Q4
225,Delhi,2020-05-05,2020,5,May,Q2
226,Pune,2022-07-12,2022,7,July,Q3
227,Pune,2019-03-28,2019,3,March,Q1
228,Pune,2023-12-21,2023,12,December,Q4
229,Bangalore,2022-01-21,2022,1,January,Q1
230,Delhi,2022-09-13,2022,9,September,Q3
231,Mumbai,2021-02-28,2021,2,February,Q1
232,Delhi,2020-12-12,2020,12,December,Q4
233,Mumbai,2022-04-22,2022,4,April,Q2
234,Mumbai,2021-07-09,2021,7,July,Q3
235,Delhi,2019-05-10,2019,5,May,Q2
236,Bangalore,2022-10-22,2022,10,October,Q4
237,Bangalore,2023-08-16,2023,8,August,Q3
238,Pune,2019-05-10,2019,5,May,Q2
239,Pune,2022-12-29,2022,12,December,Q4
240,Mumbai,2023-04-01,2023,4,April,Q2
241,Pune,2023-08-05,2023,8,August,Q3
242,Pune,2019-03-02,2019,3,March,Q1
243,Pune,2023-02-04,2023,2,February,Q1
244,Mumbai,2023-03-05,2023,3,March,Q1
245,Delhi,2022-02-03,2022,2,February,Q1
246,Bangalore,2020-01-13,2020,1,January,Q1
247,Mumbai,2020-11-08,2020,11,November,Q4
248,Bangalore,2019-10-01,2019,10,October,Q4
249,Bangalore,2021-06-14,2021,6,June,Q2
250,Bangalore,2020-01-23,2020,1,January,Q1
251,Delhi,2020-01-16,2020,1,January,Q1
252,Mumbai,2020-08-09,2020,8,August,Q3
253,Mumbai,2019-12-20,2019,12,December,Q4
254,Delhi,2021-05-27,2021,5,May,Q2
255,Bangalore,2023-03-10,2023,3,March,Q1
256,Mumbai,2023-12-26,2023,12,December,Q4
257,Mumbai,2023-07-15,2023,7,July,Q3
258,Mumbai,2021-08-14,2021,8,August,Q3
259,Delhi,2019-10-13,2019,10,October,Q4
260,Pune,2022-09-11,2022,9,September,Q3
261,Pune,2022-02-22,2022,2,February,Q1
262,Bangalore,2022-08-31,2022,8,August,Q3
263,Bangalore,2021-12-28,2021,12,December,Q4
264,Bangalore,2023-07-16,2023,7,July,Q3
265,Bangalore,2022-01-31,2022,1,January,Q1
266,Bangalore,2019-09-13,2019,9,September,Q3
267,Delhi,2024-01-01,2024,1,January,Q1
268,Delhi,2019-12-27,2019,12,December,Q4
269,Pune,2021-11-06,2021,11,November,Q4
270,Pune,2019-08-20,2019,8,August,Q3
271,Delhi,2021-01-17,2021,1,January,Q1
272,Pune,2022-06-27,2022,6,June,Q2
273,Pune,2020-05-10,2020,5,May,Q2
274,Mumbai,2021-08-08,2021,8,August,Q3
275,Mumbai,2019-02-27,2019,2,February,Q1
276,Delhi,2023-06-06,2023,6,June,Q2
277,Pune,2020-03-06,2020,3,March,Q1
278,Mumbai,2023-11-09,2023,11,November,Q4
279,Pune,2020-03-09,2020,3,March,Q1
280,Mumbai,2020-01-21,2020,1,January,Q1
281,Pune,2021-07-19,2021,7,July,Q3
282,Mumbai,2021-04-19,2021,4,April,Q2
283,Mumbai,2021-11-20,2021,11,November,Q4
284,Delhi,2022-07-12,2022,7,July,Q3
285,Delhi,2023-01-28,2023,1,January,Q1
286,Bangalore,2022-01-24,2022,1,January,Q1
287,Bangalore,2021-10-24,2021,10,October,Q4
288,Pune,2020-05-01,2020,5,May,Q2
289,Pune,2022-04-05,2022,4,April,Q2
290,Pune,2022-04-11,2022,4,April,Q2
291,Mumbai,2023-02-24,2023,2,February,Q1
292,Bangalore,2022-12-06,2022,12,December,Q4
293,Pune,2023-11-26,2023,11,November,Q4
294,Delhi,2022-08-05,2022,8,August,Q3
295,Delhi,2019-11-20,2019,11,November,Q4
296,Pune,2020-06-13,2020,6,June,Q2
297,Delhi,2020-11-20,2020,11,November,Q4
298,Mumbai,2019-07-03,2019,7,July,Q3
299,Pune,2019-06-15,2019,6,June,Q2
300,Bangalore,2023-12-05,2023,12,December,Q4
301,Pune,2019-10-13,2019,10,October,Q4
302,Delhi,2019-10-13,2019,10,October,Q4
303,Bangalore,2021-12-20,2021,12,December,Q4
304,Mumbai,2023-08-02,2023,8,August,Q3
305,Pune,2023-05-04,2023,5,May,Q2
306,Delhi,2023-04-04,2023,4,April,Q2
307,Pune,2021-03-30,2021,3,March,Q1
308,Bangalore,2022-10-25,2022,10,October,Q4
309,Pune,2023-07-01,2023,7,July,Q3
310,Mumbai,2020-12-21,2020,12,December,Q4
311,Mumbai,2023-12-09,2023,12,December,Q4
312,Delhi,2020-10-22,2020,10,October,Q4
313,Mumbai,2021-11-03,2021,11,November,Q4
314,Delhi,2022-11-16,2022,11,November,Q4
315,Delhi,2023-05-14,2023,5,May,Q2
316,Mumbai,2020-06-18,2020,6,June,Q2
317,Pune,2019-10-13,2019,10,October,Q4
318,Delhi,2023-04-20,2023,4,April,Q2
319,Bangalore,2020-03-16,2020,3,March,Q1
320,Pune,2023-06-18,2023,6,June,Q2
321,Pune,2023-01-19,2023,1,January,Q1
322,Pune,2021-09-11,2021,9,September,Q3
323,Pune,2021-12-16,2021,12,December,Q4
324,Pune,2020-01-02,2020,1,January,Q1
325,Mumbai,2019-10-25,2019,10,October,Q4
326,Pune,2023-01-31,2023,1,January,Q1
327,Bangalore,2023-11-02,2023,11,November,Q4
328,Mumbai,2021-04-13,2021,4,April,Q2
329,Bangalore,2023-10-28,2023,10,October,Q4
330,Mumbai,2023-01-16,2023,1,January,Q1
331,Delhi,2022-10-28,2022,10,October,Q4
332,Mumbai,2021-05-10,2021,5,May,Q2
333,Delhi,2021-08-13,2021,8,August,Q3
334,Delhi,2023-11-09,2023,11,November,Q4
335,Mumbai,2021-01-28,2021,1,January,Q1
336,Bangalore,2020-10-01,2020,10,October,Q4
337,Bangalore,2021-01-02,2021,1,January,Q1
338,Bangalore,2023-06-16,2023,6,June,Q2
339,Bangalore,2020-08-01,2020,8,August,Q3
340,Mumbai,2020-04-14,2020,4,April,Q2
341,Bangalore,2019-08-09,2019,8,August,Q3
342,Delhi,2019-05-16,2019,5,May,Q2
343,Pune,2020-06-18,2020,6,June,Q2
344,Pune,2019-02-18,2019,2,February,Q1
345,Bangalore,2021-12-12,2021,12,December,Q4
346,Pune,2021-09-12,2021,9,September,Q3
347,Mumbai,2022-12-04,2022,12,December,Q4
348,Bangalore,2022-10-18,2022,10,October,Q4
349,Mumbai,2020-10-17,2020,10,October,Q4
350,Pune,2020-02-18,2020,2,February,Q1
351,Pune,2022-07-18,2022,7,July,Q3
352,Delhi,2019-12-11,2019,12,December,Q4
353,Mumbai,2021-05-01,2021,5,May,Q2
354,Bangalore,2022-07-20,2022,7,July,Q3
355,Bangalore,2020-11-27,2020,11,November,Q4
356,Delhi,2019-03-16,2019,3,March,Q1
357,Delhi,2022-08-07,2022,8,August,Q3
358,Delhi,2020-09-26,2020,9,September,Q3
359,Delhi,2021-06-04,2021,6,June,Q2
360,Delhi,2023-06-26,2023,6,June,Q2
361,Pune,2022-10-03,2022,10,October,Q4
362,Pune,2020-07-31,2020,7,July,Q3
363,Delhi,2019-10-02,2019,10,October,Q4
364,Bangalore,2019-06-30,2019,6,June,Q2
365,Pune,2020-07-15,2020,7,July,Q3
366,Delhi,2019-10-21,2019,10,October,Q4
367,Mumbai,2022-01-07,2022,1,January,Q1
368,Bangalore,2019-11-22,2019,11,November,Q4
369,Pune,2021-01-24,2021,1,January,Q1
370,Mumbai,2021-03-07,2021,3,March,Q1
371,Delhi,2023-05-07,2023,5,May,Q2
372,Bangalore,2019-04-29,2019,4,April,Q2
373,Pune,2020-10-17,2020,10,October,Q4
374,Delhi,2022-07-13,2022,7,July,Q3
375,Delhi,2020-05-25,2020,5,May,Q2
376,Mumbai,2020-01-22,2020,1,January,Q1
377,Bangalore,2023-12-31,2023,12,December,Q4
378,Pune,2020-12-02,2020,12,December,Q4
379,Delhi,2021-12-28,2021,12,December,Q4
380,Bangalore,2020-09-08,2020,9,September,Q3
381,Bangalore,2021-09-17,2021,9,September,Q3
382,Delhi,2021-10-10,2021,10,October,Q4
383,Bangalore,2023-03-11,2023,3,March,Q1
384,Mumbai,2020-08-17,2020,8,August,Q3
385,Mumbai,2023-01-06,2023,1,January,Q1
386,Mumbai,2021-12-25,2021,12,December,Q4
387,Bangalore,2020-03-03,2020,3,March,Q1
388,Mumbai,2019-02-07,2019,2,February,Q1
389,Delhi,2022-04-14,2022,4,April,Q2
390,Pune,2020-02-04,2020,2,February,Q1
391,Delhi,2022-06-30,2022,6,June,Q2
392,Delhi,2019-06-25,2019,6,June,Q2
393,Bangalore,2021-09-20,2021,9,September,Q3
394,Pune,2020-06-24,2020,6,June,Q2
395,Bangalore,2023-05-09,2023,5,May,Q2
396,Pune,2022-04-09,2022,4,April,Q2
397,Bangalore,2023-03-14,2023,3,March,Q1
398,Pune,2023-08-27,2023,8,August,Q3
399,Pune,2020-01-30,2020,1,January,Q1
400,Pune,2021-04-30,2021,4,April,Q2
401,Bangalore,2021-03-21,2021,3,March,Q1
402,Mumbai,2021-01-10,2021,1,January,Q1
403,Mumbai,2022-08-07,2022,8,August,Q3
404,Mumbai,2021-10-22,2021,10,October,Q4
405,Delhi,2021-03-13,2021,3,March,Q1
406,Mumbai,2020-04-07,2020,4,April,Q2
407,Pune,2020-03-28,2020,3,March,Q1
408,Bangalore,2023-09-16,2023,9,September,Q3
409,Pune,2019-06-14,2019,6,June,Q2
410,Mumbai,2023-10-30,2023,10,October,Q4
411,Delhi,2019-11-11,2019,11,November,Q4
412,Bangalore,2020-02-23,2020,2,February,Q1
413,Delhi,2020-06-06,2020,6,June,Q2
414,Bangalore,2021-11-26,2021,11,November,Q4
415,Delhi,2019-03-01,2019,3,March,Q1
416,Pune,2023-01-06,2023,1,January,Q1
417,Mumbai,2023-10-29,2023,10,October,Q4
418,Delhi,2021-03-25,2021,3,March,Q1
419,Pune,2022-09-10,2022,9,September,Q3
420,Delhi,2022-03-29,2022,3,March,Q1
421,Bangalore,2022-04-19,2022,4,April,Q2
422,Pune,2022-12-11,2022,12,December,Q4
423,Pune,2023-03-29,2023,3,March,Q1
424,Delhi,2021-12-23,2021,12,December,Q4
425,Delhi,2019-05-13,2019,5,May,Q2
426,Delhi,2022-07-15,2022,7,July,Q3
427,Bangalore,2020-04-10,2020,4,April,Q2
428,Pune,2022-03-03,2022,3,March,Q1
429,Bangalore,2023-05-02,2023,5,May,Q2
430,Pune,2022-11-13,2022,11,November,Q4
431,Delhi,2019-05-15,2019,5,May,Q2
432,Mumbai,2022-11-23,2022,11,November,Q4
433,Bangalore,2023-08-07,2023,8,August,Q3
434,Bangalore,2021-07-09,2021,7,July,Q3
435,Pune,2021-11-11,2021,11,November,Q4
436,Delhi,2021-06-21,2021,6,June,Q2
437,Mumbai,2021-11-02,2021,11,November,Q4
438,Mumbai,2022-09-20,2022,9,September,Q3
439,Delhi,2020-01-11,2020,1,January,Q1
440,Bangalore,2019-07-28,2019,7,July,Q3
441,Bangalore,2020-11-03,2020,11,November,Q4
442,Delhi,2019-10-06,2019,10,October,Q4
443,Mumbai,2023-08-06,2023,8,August,Q3
444,Delhi,2023-10-19,2023,10,October,Q4
445,Delhi,2020-08-31,2020,8,August,Q3
446,Bangalore,2023-03-26,2023,3,March,Q1
447,Delhi,2020-05-07,2020,5,May,Q2
448,Delhi,2022-02-03,2022,2,February,Q1
449,Bangalore,2021-01-07,2021,1,January,Q1
450,Bangalore,2022-11-02,2022,11,November,Q4
451,Delhi,2019-04-12,2019,4,April,Q2
452,Bangalore,2019-10-26,2019,10,October,Q4
453,Pune,2021-04-21,2021,4,April,Q2
454,Mumbai,2023-09-29,2023,9,September,Q3
455,Mumbai,2023-05-09,2023,5,May,Q2
456,Pune,2020-09-23,2020,9,September,Q3
457,Delhi,2020-06-08,2020,6,June,Q2
458,Bangalore,2019-12-14,2019,12,December,Q4
459,Delhi,2021-08-07,2021,8,August,Q3
460,Delhi,2019-01-03,2019,1,January,Q1
461,Pune,2023-08-03,2023,8,August,Q3
462,Delhi,2022-05-31,2022,5,May,Q2
463,Pune,2023-04-02,2023,4,April,Q2
464,Bangalore,2019-06-16,2019,6,June,Q2
465,Delhi,2021-05-15,2021,5,May,Q2
466,Delhi,2019-04-06,2019,4,April,Q2
467,Delhi,2022-07-09,2022,7,July,Q3
468,Delhi,2022-02-21,2022,2,February,Q1
469,Pune,2020-03-22,2020,3,March,Q1
470,Mumbai,2022-04-12,2022,4,April,Q2
471,Bangalore,2020-09-30,2020,9,September,Q3
472,Delhi,2020-08-23,2020,8,August,Q3
473,Bangalore,2021-04-03,2021,4,April,Q2
474,Delhi,2022-06-21,2022,6,June,Q2
475,Pune,2019-09-10,2019,9,September,Q3
476,Bangalore,2020-02-23,2020,2,February,Q1
477,Pune,2021-08-01,2021,8,August,Q3
478,Mumbai,2019-12-31,2019,12,December,Q4
479,Delhi,2022-04-07,2022,4,April,Q2
480,Mumbai,2021-12-27,2021,12,December,Q4
481,Delhi,2020-08-02,2020,8,August,Q3
482,Bangalore,2021-12-05,2021,12,December,Q4
483,Bangalore,2019-07-23,2019,7,July,Q3
484,Pune,2023-07-08,2023,7,July,Q3
485,Pune,2022-12-09,2022,12,December,Q4
486,Bangalore,2021-02-28,2021,2,February,Q1
487,Mumbai,2022-11-02,2022,11,November,Q4
488,Bangalore,2023-01-26,2023,1,January,Q1
489,Pune,2023-11-27,2023,11,November,Q4
490,Pune,2019-03-01,2019,3,March,Q1
491,Mumbai,2023-07-21,2023,7,July,Q3
492,Bangalore,2021-10-21,2021,10,October,Q4
493,Bangalore,2023-01-17,2023,1,January,Q1
494,Delhi,2023-01-25,2023,1,January,Q1
495,Pune,2023-03-11,2023,3,March,Q1
496,Mumbai,2020-10-19,2020,10,October,Q4
497,Delhi,2020-03-14,2020,3,March,Q1
498,Pune,2020-12-14,2020,12,December,Q4
499,Delhi,2023-06-17,2023,6,June,Q2
500,Delhi,2023-05-01,2023,5,May,Q2
501,Delhi,2023-04-17,2023,4,April,Q2
502,Bangalore,2022-09-29,2022,9,September,Q3
503,Pune,2022-05-28,2022,5,May,Q2
504,Delhi,2020-09-22,2020,9,September,Q3
505,Mumbai,2022-05-27,2022,5,May,Q2
506,Pune,2022-03-08,2022,3,March,Q1
507,Bangalore,2023-05-29,2023,5,May,Q2
508,Pune,2019-12-05,2019,12,December,Q4
509,Delhi,2023-01-27,2023,1,January,Q1
510,Pune,2019-12-27,2019,12,December,Q4
511,Delhi,2022-03-05,2022,3,March,Q1
512,Pune,2019-10-24,2019,10,October,Q4
513,Bangalore,2020-10-04,2020,10,October,Q4
514,Mumbai,2020-10-02,2020,10,October,Q4
515,Mumbai,2020-05-14,2020,5,May,Q2
516,Delhi,2021-01-02,2021,1,January,Q1
517,Delhi,2019-07-22,2019,7,July,Q3
518,Bangalore,2022-05-15,2022,5,May,Q2
519,Mumbai,2020-11-05,2020,11,November,Q4
520,Delhi,2023-09-24,2023,9,September,Q3
521,Delhi,2019-09-02,2019,9,September,Q3
522,Mumbai,2020-03-10,2020,3,March,Q1
523,Mumbai,2021-02-13,2021,2,February,Q1
524,Bangalore,2020-01-19,2020,1,January,Q1
525,Bangalore,2022-04-22,2022,4,April,Q2
526,Bangalore,2021-06-11,2021,6,June,Q2
527,Bangalore,2022-12-03,2022,12,December,Q4
528,Bangalore,2022-09-05,2022,9,September,Q3
529,Mumbai,2023-02-10,2023,2,February,Q1
530,Mumbai,2021-04-16,2021,4,April,Q2
531,Bangalore,2023-06-07,2023,6,June,Q2
532,Pune,2019-02-13,2019,2,February,Q1
533,Delhi,2021-02-25,2021,2,February,Q1
534,Delhi,2022-05-05,2022,5,May,Q2
535,Delhi,2021-01-14,2021,1,January,Q1
536,Delhi,2022-10-25,2022,10,October,Q4
537,Delhi,2023-07-02,2023,7,July,Q3
538,Bangalore,2022-08-30,2022,8,August,Q3
539,Pune,2022-09-20,2022,9,September,Q3
540,Delhi,2022-11-01,2022,11,November,Q4
541,Mumbai,2023-09-16,2023,9,September,Q3
542,Delhi,2020-06-23,2020,6,June,Q2
543,Mumbai,2020-04-05,2020,4,April,Q2
544,Bangalore,2020-06-02,2020,6,June,Q2
545,Bangalore,2021-07-06,2021,7,July,Q3
546,Bangalore,2019-12-27,2019,12,December,Q4
547,Mumbai,2022-02-28,2022,2,February,Q1
548,Mumbai,2022-10-28,2022,10,October,Q4
549,Bangalore,2021-11-12,2021,11,November,Q4
550,Mumbai,2020-04-01,2020,4,April,Q2
551,Bangalore,2022-11-13,2022,11,November,Q4
