order_id,customer_id,store_id,order_date,promotion_id,order_year,order_quarter,order_month,order_month_name,order_day,order_day_name,is_weekend
94,18240,87,2023-11-15,34,2023,Q4,11,November,15,Wednesday,False
95,27419,5,2023-02-19,49,2023,Q1,2,February,19,Sunday,True
96,29759,6,2020-05-24,3,2020,Q2,5,May,24,Sunday,True
97,11472,37,2020-07-18,9,2020,Q3,7,July,18,Saturday,True
98,17215,47,2022-04-08,23,2022,Q2,4,April,8,Friday,False
99,27554,50,2022-11-11,3,2022,Q4,11,November,11,Friday,False
100,9504,99,2021-01-21,24,2021,Q1,1,January,21,Thursday,False
101,8250,94,2020-06-26,47,2020,Q2,6,June,26,Friday,False
102,29863,31,2023-09-09,27,2023,Q3,9,September,9,Saturday,True
103,5224,5,2022-02-06,2,2022,Q1,2,February,6,Sunday,True
104,29830,91,2021-12-31,22,2021,Q4,12,December,31,Friday,False
105,45895,43,2021-11-20,39,2021,Q4,11,November,20,Saturday,True
106,33038,56,2020-11-14,35,2020,Q4,11,November,14,Saturday,True
107,31852,55,2022-12-26,39,2022,Q4,12,December,26,Monday,False
108,26897,74,2022-02-03,1,2022,Q1,2,February,3,Thursday,False
109,17800,8,2023-07-02,49,2023,Q3,7,July,2,Sunday,True
110,2393,92,2021-03-26,39,2021,Q1,3,March,26,Friday,False
111,33653,10,2023-03-09,36,2023,Q1,3,March,9,Thursday,False
112,45722,75,2023-12-19,44,2023,Q4,12,December,19,Tuesday,False
113,39522,1,2021-06-14,6,2021,Q2,6,June,14,Monday,False
114,30233,95,2023-12-09,39,2023,Q4,12,December,9,Saturday,True
115,40969,5,2022-11-03,25,2022,Q4,11,November,3,Thursday,False
116,17255,88,2023-05-25,37,2023,Q2,5,May,25,Thursday,False
117,47773,54,2021-01-26,22,2021,Q1,1,January,26,Tuesday,False
118,40732,93,2023-06-08,35,2023,Q2,6,June,8,Thursday,False
119,38059,27,2022-04-30,21,2022,Q2,4,April,30,Saturday,True
120,34612,5,2021-06-08,12,2021,Q2,6,June,8,Tuesday,False
121,3405,10,2021-04-17,46,2021,Q2,4,April,17,Saturday,True
122,42182,69,2022-07-31,50,2022,Q3,7,July,31,Sunday,True
123,6859,88,2020-04-07,30,2020,Q2,4,April,7,Tuesday,False
124,9599,97,2020-06-30,44,2020,Q2,6,June,30,Tuesday,False
125,1968,91,2022-11-27,30,2022,Q4,11,November,27,Sunday,True
126,29847,46,2022-09-09,33,2022,Q3,9,September,9,Friday,False
127,14827,57,2020-02-20,26,2020,Q1,2,February,20,Thursday,False
128,22545,53,2020-09-20,14,2020,Q3,9,September,20,Sunday,True
129,26557,18,2020-05-03,27,2020,Q2,5,May,3,Sunday,True
130,4625,24,2020-05-18,31,2020,Q2,5,May,18,Monday,False
131,45235,87,2020-04-20,26,2020,Q2,4,April,20,Monday,False
132,10739,94,2022-02-27,38,2022,Q1,2,February,27,Sunday,True
133,42355,89,2021-03-06,11,2021,Q1,3,March,6,Saturday,True
134,44568,24,2020-04-25,26,2020,Q2,4,April,25,Saturday,True
135,15654,52,2022-05-08,21,2022,Q2,5,May,8,Sunday,True
136,26724,6,2023-08-03,20,2023,Q3,8,August,3,Thursday,False
137,32384,17,2023-11-17,32,2023,Q4,11,November,17,Friday,False
138,10811,46,2020-10-26,36,2020,Q4,10,October,26,Monday,False
139,41901,64,2021-09-06,12,2021,Q3,9,September,6,Monday,False
140,47168,22,2023-06-24,42,2023,Q2,6,June,24,Saturday,True
141,18241,97,2020-05-12,49,2020,Q2,5,May,12,Tuesday,False
142,15458,5,2022-06-27,49,2022,Q2,6,June,27,Monday,False
143,22074,6,2021-12-12,48,2021,Q4,12,December,12,Sunday,True
144,1018,72,2020-01-18,40,2020,Q1,1,January,18,Saturday,True
145,31293,96,2020-10-20,30,2020,Q4,10,October,20,Tuesday,False
146,28907,86,2021-05-12,6,2021,Q2,5,May,12,Wednesday,False
147,6197,100,2021-06-17,10,2021,Q2,6,June,17,Thursday,False
148,5492,17,2023-09-09,3,2023,Q3,9,September,9,Saturday,True
149,1701,50,2020-04-09,48,2020,Q2,4,April,9,Thursday,False
150,47262,51,2023-05-21,18,2023,Q2,5,May,21,Sunday,True
151,2522,82,2020-04-28,15,2020,Q2,4,April,28,Tuesday,False
152,8806,3,2020-09-04,30,2020,Q3,9,September,4,Friday,False
153,35451,59,2020-10-30,6,2020,Q4,10,October,30,Friday,False
154,30307,4,2020-03-18,22,2020,Q1,3,March,18,Wednesday,False
155,3701,90,2022-10-27,50,2022,Q4,10,October,27,Thursday,False
156,46780,9,2023-06-17,48,2023,Q2,6,June,17,Saturday,True
157,39044,64,2023-09-16,13,2023,Q3,9,September,16,Saturday,True
158,48501,60,2020-01-05,16,2020,Q1,1,January,5,Sunday,True
159,47975,14,2020-11-05,30,2020,Q4,11,November,5,Thursday,False
160,24053,4,2022-08-02,43,2022,Q3,8,August,2,Tuesday,False
161,31875,3,2022-07-25,7,2022,Q3,7,July,25,Monday,False
162,21807,17,2021-03-19,41,2021,Q1,3,March,19,Friday,False
163,34219,94,2023-06-09,25,2023,Q2,6,June,9,Friday,False
164,32276,77,2021-11-24,26,2021,Q4,11,November,24,Wednesday,False
165,14853,41,2020-09-16,2,2020,Q3,9,September,16,Wednesday,False
166,34927,76,2020-05-17,43,2020,Q2,5,May,17,Sunday,True
167,42854,58,2020-05-07,40,2020,Q2,5,May,7,Thursday,False
168,28945,80,2021-10-06,27,2021,Q4,10,October,6,Wednesday,False
169,34678,27,2022-08-31,10,2022,Q3,8,August,31,Wednesday,False
170,49677,3,2020-12-22,6,2020,Q4,12,December,22,Tuesday,False
171,21979,69,2020-02-15,1,2020,Q1,2,February,15,Saturday,True
172,27255,98,2023-07-31,33,2023,Q3,7,July,31,Monday,False
173,13219,78,2020-02-15,45,2020,Q1,2,February,15,Saturday,True
174,29119,33,2021-04-21,34,2021,Q2,4,April,21,Wednesday,False
175,25286,5,2022-09-11,44,2022,Q3,9,September,11,Sunday,True
176,48551,84,2020-11-08,31,2020,Q4,11,November,8,Sunday,True
177,43316,1,2021-06-15,12,2021,Q2,6,June,15,Tuesday,False
178,24346,74,2023-10-26,49,2023,Q4,10,October,26,Thursday,False
179,7777,42,2021-03-30,2,2021,Q1,3,March,30,Tuesday,False
180,23920,71,2023-02-23,40,2023,Q1,2,February,23,Thursday,False
181,32340,51,2023-10-02,50,2023,Q4,10,October,2,Monday,False
182,42036,14,2020-09-18,33,2020,Q3,9,September,18,Friday,False
183,45118,63,2020-02-17,7,2020,Q1,2,February,17,Monday,False
184,36041,31,2020-04-08,18,2020,Q2,4,April,8,Wednesday,False
185,34875,20,2020-01-21,30,2020,Q1,1,January,21,Tuesday,False
186,44044,66,2021-12-08,5,2021,Q4,12,December,8,Wednesday,False
187,10936,73,2020-09-11,19,2020,Q3,9,September,11,Friday,False
188,36034,5,2022-10-13,8,2022,Q4,10,October,13,Thursday,False
189,16669,73,2020-06-01,29,2020,Q2,6,June,1,Monday,False
190,19760,89,2021-05-30,3,2021,Q2,5,May,30,Sunday,True
191,25043,83,2023-11-30,19,2023,Q4,11,November,30,Thursday,False
192,2651,35,2020-10-22,40,2020,Q4,10,October,22,Thursday,False
193,34582,2,2021-03-24,17,2021,Q1,3,March,24,Wednesday,False
194,21065,98,2021-03-11,34,2021,Q1,3,March,11,Thursday,False
195,45924,59,2022-11-28,10,2022,Q4,11,November,28,Monday,False
196,33358,27,2023-04-22,29,2023,Q2,4,April,22,Saturday,True
197,38358,76,2022-08-01,25,2022,Q3,8,August,1,Monday,False
198,6717,40,2023-06-22,45,2023,Q2,6,June,22,Thursday,False
199,35544,38,2023-04-03,45,2023,Q2,4,April,3,Monday,False
200,1064,26,2023-12-25,26,2023,Q4,12,December,25,Monday,False
201,17322,21,2023-04-11,50,2023,Q2,4,April,11,Tuesday,False
202,43423,97,2020-06-20,22,2020,Q2,6,June,20,Saturday,True
203,48338,7,2020-08-05,19,2020,Q3,8,August,5,Wednesday,False
204,16714,62,2023-08-19,39,2023,Q3,8,August,19,Saturday,True
205,30214,34,2020-02-01,27,2020,Q1,2,February,1,Saturday,True
206,45409,4,2020-11-02,35,2020,Q4,11,November,2,Monday,False
207,21474,10,2023-06-20,22,2023,Q2,6,June,20,Tuesday,False
208,17178,44,2022-07-20,3,2022,Q3,7,July,20,Wednesday,False
209,27153,9,2022-01-27,10,2022,Q1,1,January,27,Thursday,False
210,1073,9,2020-04-20,43,2020,Q2,4,April,20,Monday,False
211,7278,14,2020-10-17,37,2020,Q4,10,October,17,Saturday,True
212,1415,38,2020-07-29,31,2020,Q3,7,July,29,Wednesday,False
213,28718,8,2020-02-08,41,2020,Q1,2,February,8,Saturday,True
214,26385,88,2023-03-29,6,2023,Q1,3,March,29,Wednesday,False
215,6065,8,2022-12-10,4,2022,Q4,12,December,10,Saturday,True
216,171,29,2023-06-15,23,2023,Q2,6,June,15,Thursday,False
217,30061,38,2023-05-22,1,2023,Q2,5,May,22,Monday,False
218,5266,10,2022-12-20,4,2022,Q4,12,December,20,Tuesday,False
219,30046,41,2021-08-29,37,2021,Q3,8,August,29,Sunday,True
220,30295,41,2022-12-16,10,2022,Q4,12,December,16,Friday,False
221,9220,64,2021-06-19,14,2021,Q2,6,June,19,Saturday,True
222,20602,98,2020-02-16,3,2020,Q1,2,February,16,Sunday,True
223,12447,49,2023-11-17,32,2023,Q4,11,November,17,Friday,False
224,506,71,2022-11-04,10,2022,Q4,11,November,4,Friday,False
225,24083,64,2023-07-28,26,2023,Q3,7,July,28,Friday,False
226,44521,94,2021-09-19,34,2021,Q3,9,September,19,Sunday,True
227,43433,4,2021-04-27,19,2021,Q2,4,April,27,Tuesday,False
228,1841,99,2021-02-09,19,2021,Q1,2,February,9,Tuesday,False
229,46767,60,2022-01-29,37,2022,Q1,1,January,29,Saturday,True
230,36177,81,2021-11-19,39,2021,Q4,11,November,19,Friday,False
231,31939,84,2023-11-06,40,2023,Q4,11,November,6,Monday,False
232,29141,33,2021-04-11,33,2021,Q2,4,April,11,Sunday,True
233,12586,91,2022-02-26,41,2022,Q1,2,February,26,Saturday,True
234,33722,10,2020-11-27,34,2020,Q4,11,November,27,Friday,False
235,33878,94,2020-03-03,12,2020,Q1,3,March,3,Tuesday,False
236,31925,61,2022-08-12,10,2022,Q3,8,August,12,Friday,False
237,39214,61,2022-03-21,42,2022,Q1,3,March,21,Monday,False
238,9534,63,2020-04-07,47,2020,Q2,4,April,7,Tuesday,False
239,28788,25,2020-07-12,39,2020,Q3,7,July,12,Sunday,True
240,49997,4,2022-10-05,17,2022,Q4,10,October,5,Wednesday,False
241,14746,49,2022-07-27,8,2022,Q3,7,July,27,Wednesday,False
242,24877,72,2022-12-08,14,2022,Q4,12,December,8,Thursday,False
243,13943,48,2023-08-21,25,2023,Q3,8,August,21,Monday,False
244,33230,9,2022-09-05,25,2022,Q3,9,September,5,Monday,False
245,1102,49,2021-04-28,31,2021,Q2,4,April,28,Wednesday,False
246,23121,20,2020-04-25,7,2020,Q2,4,April,25,Saturday,True
247,14858,64,2023-09-21,3,2023,Q3,9,September,21,Thursday,False
248,23195,12,2022-11-30,26,2022,Q4,11,November,30,Wednesday,False
249,11636,37,2021-09-30,8,2021,Q3,9,September,30,Thursday,False
250,30838,13,2020-07-06,23,2020,Q3,7,July,6,Monday,False
251,15177,32,2023-03-10,31,2023,Q1,3,March,10,Friday,False
252,22656,61,2022-12-03,19,2022,Q4,12,December,3,Saturday,True
253,36466,12,2021-05-22,10,2021,Q2,5,May,22,Saturday,True
254,39876,12,2023-03-15,43,2023,Q1,3,March,15,Wednesday,False
255,39106,34,2020-08-27,42,2020,Q3,8,August,27,Thursday,False
256,31380,83,2020-12-10,21,2020,Q4,12,December,10,Thursday,False
257,25960,8,2023-08-27,50,2023,Q3,8,August,27,Sunday,True
258,16514,68,2021-03-16,37,2021,Q1,3,March,16,Tuesday,False
259,26182,94,2021-11-11,48,2021,Q4,11,November,11,Thursday,False
260,45742,9,2022-06-09,13,2022,Q2,6,June,9,Thursday,False
261,447,53,2022-03-19,4,2022,Q1,3,March,19,Saturday,True
262,49606,47,2020-12-08,16,2020,Q4,12,December,8,Tuesday,False
263,23075,4,2020-01-01,47,2020,Q1,1,January,1,Wednesday,False
264,22563,11,2021-07-14,11,2021,Q3,7,July,14,Wednesday,False
265,8266,59,2020-06-26,44,2020,Q2,6,June,26,Friday,False
266,15303,74,2021-06-11,30,2021,Q2,6,June,11,Friday,False
267,5438,8,2022-06-22,15,2022,Q2,6,June,22,Wednesday,False
268,7167,19,2023-07-09,22,2023,Q3,7,July,9,Sunday,True
269,9294,99,2023-04-01,5,2023,Q2,4,April,1,Saturday,True
270,24845,94,2021-04-07,8,2021,Q2,4,April,7,Wednesday,False
271,46542,65,2022-12-27,44,2022,Q4,12,December,27,Tuesday,False
272,16122,90,2020-01-28,39,2020,Q1,1,January,28,Tuesday,False
273,22919,76,2022-08-08,13,2022,Q3,8,August,8,Monday,False
274,28460,62,2021-11-12,7,2021,Q4,11,November,12,Friday,False
275,38279,63,2023-07-21,29,2023,Q3,7,July,21,Friday,False
276,15942,3,2023-11-10,15,2023,Q4,11,November,10,Friday,False
277,24123,33,2023-08-20,39,2023,Q3,8,August,20,Sunday,True
278,48100,89,2022-02-17,48,2022,Q1,2,February,17,Thursday,False
279,37080,79,2023-06-18,14,2023,Q2,6,June,18,Sunday,True
280,20714,16,2020-01-07,35,2020,Q1,1,January,7,Tuesday,False
281,24240,21,2023-06-20,41,2023,Q2,6,June,20,Tuesday,False
282,49756,40,2023-04-23,4,2023,Q2,4,April,23,Sunday,True
283,31489,7,2021-06-02,15,2021,Q2,6,June,2,Wednesday,False
284,46441,4,2022-10-03,21,2022,Q4,10,October,3,Monday,False
285,1482,16,2020-04-15,10,2020,Q2,4,April,15,Wednesday,False
286,5399,19,2020-05-03,3,2020,Q2,5,May,3,Sunday,True
287,45854,45,2023-05-10,34,2023,Q2,5,May,10,Wednesday,False
288,12994,11,2023-08-18,29,2023,Q3,8,August,18,Friday,False
289,43420,85,2023-11-12,39,2023,Q4,11,November,12,Sunday,True
290,48124,13,2023-01-19,15,2023,Q1,1,January,19,Thursday,False
291,35573,50,2021-11-07,5,2021,Q4,11,November,7,Sunday,True
292,42344,6,2020-05-31,45,2020,Q2,5,May,31,Sunday,True
293,9187,11,2020-02-24,36,2020,Q1,2,February,24,Monday,False
294,18757,86,2023-08-03,38,2023,Q3,8,August,3,Thursday,False
295,18445,3,2020-06-03,21,2020,Q2,6,June,3,Wednesday,False
296,14698,59,2023-03-09,5,2023,Q1,3,March,9,Thursday,False
297,15664,29,2022-03-28,40,2022,Q1,3,March,28,Monday,False
298,40774,84,2022-03-20,3,2022,Q1,3,March,20,Sunday,True
299,21652,81,2023-11-26,38,2023,Q4,11,November,26,Sunday,True
300,7715,22,2022-07-21,35,2022,Q3,7,July,21,Thursday,False
301,38850,75,2023-10-30,44,2023,Q4,10,October,30,Monday,False
302,22595,65,2023-11-30,48,2023,Q4,11,November,30,Thursday,False
303,31345,65,2022-06-29,3,2022,Q2,6,June,29,Wednesday,False
304,10257,63,2022-05-16,24,2022,Q2,5,May,16,Monday,False
305,9002,68,2022-03-26,36,2022,Q1,3,March,26,Saturday,True
306,10671,69,2021-02-09,47,2021,Q1,2,February,9,Tuesday,False
307,29760,100,2020-08-06,36,2020,Q3,8,August,6,Thursday,False
308,26647,8,2023-11-30,6,2023,Q4,11,November,30,Thursday,False
309,39386,71,2020-07-22,45,2020,Q3,7,July,22,Wednesday,False
310,35213,27,2021-12-26,50,2021,Q4,12,December,26,Sunday,True
311,19785,62,2022-11-09,10,2022,Q4,11,November,9,Wednesday,False
312,14625,18,2021-08-25,19,2021,Q3,8,August,25,Wednesday,False
313,29661,49,2023-08-04,31,2023,Q3,8,August,4,Friday,False
314,21111,82,2021-12-19,21,2021,Q4,12,December,19,Sunday,True
315,3757,79,2022-03-10,21,2022,Q1,3,March,10,Thursday,False
316,21254,24,2022-08-22,19,2022,Q3,8,August,22,Monday,False
317,31595,23,2022-10-11,20,2022,Q4,10,October,11,Tuesday,False
318,11252,97,2023-09-30,20,2023,Q3,9,September,30,Saturday,True
319,17588,4,2020-08-21,21,2020,Q3,8,August,21,Friday,False
320,35091,89,2020-06-28,20,2020,Q2,6,June,28,Sunday,True
321,24416,72,2023-05-24,34,2023,Q2,5,May,24,Wednesday,False
322,34431,91,2022-02-11,7,2022,Q1,2,February,11,Friday,False
323,2274,92,2023-05-21,20,2023,Q2,5,May,21,Sunday,True
324,41309,18,2023-03-02,28,2023,Q1,3,March,2,Thursday,False
325,17072,60,2020-01-02,46,2020,Q1,1,January,2,Thursday,False
326,49093,24,2021-11-30,11,2021,Q4,11,November,30,Tuesday,False
327,16406,30,2021-10-20,29,2021,Q4,10,October,20,Wednesday,False
328,11087,7,2022-05-31,2,2022,Q2,5,May,31,Tuesday,False
329,29582,61,2020-08-06,44,2020,Q3,8,August,6,Thursday,False
330,30193,21,2021-02-02,15,2021,Q1,2,February,2,Tuesday,False
331,46974,15,2023-12-17,12,2023,Q4,12,December,17,Sunday,True
332,31468,91,2023-05-06,47,2023,Q2,5,May,6,Saturday,True
333,9566,67,2023-07-18,9,2023,Q3,7,July,18,Tuesday,False
334,25617,22,2021-12-20,33,2021,Q4,12,December,20,Monday,False
335,5936,25,2023-01-29,27,2023,Q1,1,January,29,Sunday,True
336,36288,85,2023-09-07,31,2023,Q3,9,September,7,Thursday,False
337,30423,78,2022-09-03,16,2022,Q3,9,September,3,Saturday,True
338,15305,48,2023-01-04,15,2023,Q1,1,January,4,Wednesday,False
339,13371,85,2023-07-11,26,2023,Q3,7,July,11,Tuesday,False
340,20876,86,2023-04-18,33,2023,Q2,4,April,18,Tuesday,False
341,43324,16,2023-02-26,32,2023,Q1,2,February,26,Sunday,True
342,40645,91,2023-07-28,16,2023,Q3,7,July,28,Friday,False
343,34902,48,2021-02-20,8,2021,Q1,2,February,20,Saturday,True
344,15540,26,2020-04-10,17,2020,Q2,4,April,10,Friday,False
345,34125,27,2022-06-14,5,2022,Q2,6,June,14,Tuesday,False
346,5289,13,2020-03-08,13,2020,Q1,3,March,8,Sunday,True
347,24865,82,2022-01-09,13,2022,Q1,1,January,9,Sunday,True
348,13078,81,2022-05-27,10,2022,Q2,5,May,27,Friday,False
349,38406,29,2023-10-12,46,2023,Q4,10,October,12,Thursday,False
350,35610,79,2022-03-22,27,2022,Q1,3,March,22,Tuesday,False
351,35220,34,2020-12-03,27,2020,Q4,12,December,3,Thursday,False
352,23216,95,2022-06-27,44,2022,Q2,6,June,27,Monday,False
353,43805,75,2022-06-10,31,2022,Q2,6,June,10,Friday,False
354,35224,45,2022-01-23,37,2022,Q1,1,January,23,Sunday,True
355,18881,43,2020-09-02,12,2020,Q3,9,September,2,Wednesday,False
356,2125,37,2023-01-11,41,2023,Q1,1,January,11,Wednesday,False
357,35637,17,2020-08-04,33,2020,Q3,8,August,4,Tuesday,False
358,12576,55,2020-01-29,28,2020,Q1,1,January,29,Wednesday,False
359,39248,81,2023-07-25,15,2023,Q3,7,July,25,Tuesday,False
360,43864,87,2020-04-14,2,2020,Q2,4,April,14,Tuesday,False
361,613,71,2021-12-18,37,2021,Q4,12,December,18,Saturday,True
362,9042,89,2022-03-14,27,2022,Q1,3,March,14,Monday,False
363,41578,51,2022-04-29,19,2022,Q2,4,April,29,Friday,False
364,44995,84,2023-07-28,7,2023,Q3,7,July,28,Friday,False
365,41037,39,2020-03-08,31,2020,Q1,3,March,8,Sunday,True
366,24662,4,2021-11-13,47,2021,Q4,11,November,13,Saturday,True
367,41662,64,2020-11-10,11,2020,Q4,11,November,10,Tuesday,False
368,39460,62,2020-09-01,24,2020,Q3,9,September,1,Tuesday,False
369,36902,83,2022-04-20,11,2022,Q2,4,April,20,Wednesday,False
370,35455,20,2022-06-24,40,2022,Q2,6,June,24,Friday,False
371,49434,40,2020-01-27,4,2020,Q1,1,January,27,Monday,False
372,47641,69,2020-02-14,37,2020,Q1,2,February,14,Friday,False
373,16530,13,2021-06-26,37,2021,Q2,6,June,26,Saturday,True
374,19823,45,2021-05-06,10,2021,Q2,5,May,6,Thursday,False
375,41865,94,2021-01-09,23,2021,Q1,1,January,9,Saturday,True
376,9878,81,2021-12-03,20,2021,Q4,12,December,3,Friday,False
377,49735,94,2022-01-25,11,2022,Q1,1,January,25,Tuesday,False
378,13502,11,2022-04-17,18,2022,Q2,4,April,17,Sunday,True
379,12729,61,2021-07-06,34,2021,Q3,7,July,6,Tuesday,False
380,5757,28,2022-02-12,18,2022,Q1,2,February,12,Saturday,True
381,36073,93,2020-01-25,39,2020,Q1,1,January,25,Saturday,True
382,44777,32,2020-05-21,47,2020,Q2,5,May,21,Thursday,False
383,39683,29,2021-01-10,14,2021,Q1,1,January,10,Sunday,True
384,19236,58,2020-03-29,35,2020,Q1,3,March,29,Sunday,True
385,31167,21,2023-01-03,42,2023,Q1,1,January,3,Tuesday,False
